,use
2016-07-06 20:59:58,0.816466667
2016-07-06 21:48:58,4.35965
2016-07-06 22:05:58,7.26825
2016-07-06 22:06:58,10.9768
2016-07-06 22:24:58,11.6053
2016-07-06 22:25:58,7.500683333
2016-07-06 22:30:58,10.20625
2016-07-07 00:25:58,5.587966667
2016-07-07 01:41:58,4.953066667
2016-07-07 02:13:58,1.3845
2016-07-07 02:35:58,1.723583333
2016-07-07 02:49:58,6.17185
2016-07-07 03:16:58,4.468183333
2016-07-07 03:46:58,3.9961
2016-07-07 04:27:58,5.972483333
2016-07-07 05:07:58,5.761033333
2016-07-07 05:12:58,0.623783333
2016-07-07 05:50:58,5.678133333
2016-07-07 05:54:58,1.03655
2016-07-07 06:58:58,5.8795
2016-07-07 08:45:58,5.868983333
2016-07-07 21:23:58,6.354933333
2016-07-07 21:24:58,3.304666667
2016-07-07 21:30:58,5.335366667
2016-07-07 21:31:58,0.338833333
2016-07-07 21:38:58,4.76135
2016-07-07 21:39:58,1.617533333
2016-07-07 21:46:58,3.778783333
2016-07-07 22:00:58,5.279316667
2016-07-07 22:02:58,1.118833333
2016-07-07 22:17:58,5.6704
2016-07-07 22:18:58,2.191183333
2016-07-08 01:20:58,6.0648
2016-07-08 01:55:58,1.502666667
2016-07-08 02:07:58,6.308116667
2016-07-08 02:32:58,6.4246
2016-07-08 02:50:58,5.19245
2016-07-08 02:56:58,3.154716667
2016-07-08 03:12:58,6.175116667
2016-07-08 03:35:58,3.820433333
2016-07-08 03:41:58,0.498716667
2016-07-08 04:06:58,6.147416667
2016-07-08 04:11:58,1.2767
2016-07-08 04:45:58,6.08885
2016-07-08 04:49:58,2.058833333
2016-07-08 05:25:58,4.76435
2016-07-08 05:30:58,1.149466667
2016-07-08 06:10:58,6.056166667
2016-07-08 06:14:58,2.211766667
2016-07-08 07:05:58,5.96025
2016-07-08 07:09:58,1.754083333
2016-07-08 08:09:58,5.932566667
2016-07-08 09:41:58,5.953683333
2016-07-08 11:28:58,3.499533333
2016-07-08 13:19:58,0.432066667
2016-07-11 22:05:58,0.655133333
2016-07-13 20:26:58,3.727033333
2016-07-13 21:04:58,0.867516667
2016-07-13 21:45:58,1.1572
2016-07-13 22:02:58,10.544
2016-07-13 22:14:58,9.425166667
2016-07-13 22:44:58,3.976166667
2016-07-13 22:54:58,6.343616667
2016-07-13 23:01:58,6.478433333
2016-07-13 23:03:58,1.214133333
2016-07-13 23:18:58,10.40061667
2016-07-13 23:24:58,4.634866667
2016-07-13 23:44:58,9.8771
2016-07-13 23:49:58,2.27975
2016-07-14 00:09:58,0.962483333
2016-07-14 01:01:58,5.80705
2016-07-14 01:06:58,1.755716667
2016-07-14 02:11:58,6.428666667
2016-07-14 02:16:58,0.95595
2016-07-14 02:35:58,4.38755
2016-07-14 02:44:58,1.92215
2016-07-14 03:10:58,3.695433333
2016-07-14 03:15:58,2.658933333
2016-07-14 03:58:58,6.238766667
2016-07-14 05:18:58,5.984666667
2016-07-14 05:22:58,2.073283333
2016-07-14 06:15:58,4.93345
2016-07-14 06:20:58,0.9598
